Time,Pattern,Confidence,Entry,SL,TP
2025-07-03 23:45:54,Head & Shoulders,82,109476.0,107833.86,112760.28
2025-07-03 23:46:13,Head & Shoulders,82,109466.22,107824.23,112750.21
2025-07-03 23:46:32,Head & Shoulders,82,109430.86,107789.4,112713.79
2025-07-03 23:46:39,Head & Shoulders,82,109421.03,107779.71,112703.66
2025-07-03 23:46:52,Head & Shoulders,82,109415.4,107774.17,112697.86
2025-07-03 23:46:53,Head & Shoulders,82,109415.4,107774.17,112697.86
2025-07-03 23:48:41,Head & Shoulders,82,109344.02,107703.86,112624.34
2025-07-03 23:51:07,Double Bottom,89.99,110255.63,108601.8,113563.3
2025-07-03 23:51:50,Double Bottom,89.99,110255.63,108601.8,113563.3
2025-07-03 23:54:57,Double Bottom,89.99,110255.63,108601.8,113563.3
2025-07-03 23:55:42,Double Bottom,89.99,110255.63,108601.8,113563.3
